Number,Job Name,Company,Rating,Location,Salary,Description,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
1,Data Scientist/Analyst,CORMAC,3.7,Remote,,"CORMAC is seeking a motivated and driven Data Scientist/Analyst to join our team supporting federal healthcare agencies in the development and deployment of data management and analytics systems. This position will analyze large amounts of data to find patterns and come up with solutions to our client’s biggest problems. The work will require collaborating with internal teams to solve large, complex issues and achieve our interrelated and interdependent objectives.
In this role you and your team of highly talented individuals will work together to support the Centers for Medicare & Medicaid Services (CMS), and other Federal partners to achieve success in the reporting of standardized assessment data, quality measure data, resource use, and other measures of data. CORMAC partners with CMS to monitor and identify program reporting compliance and continue performance measurement and quality improvement at the National level.",-1,Unknown,2002,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),-1
2,Sr. Data Scientist,Pinterest,3.9,Remote,,"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It’s where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you’ll be challenged to take on work that upholds this mission and pushes Pinterest forward. You’ll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
Our new progressive work model is called PinFlex, a term that’s uniquely Pinterest to describe our flexible approach to living and working. Visit our PinFlex landing page to learn more.
As a Data Scientist you will shape the future of people-facing and business-facing products we build at Pinterest. Your expertise in quantitative modeling, experimentation and algorithms will be utilized to solve some of the most complex engineering challenges at the company. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Design, Research, Product Analytics, Data Engineering and others. The results of your work will influence and uplevel our product development teams while introducing greater scientific rigor into the real world products serving hundreds of millions of pinners, creators, advertisers and merchants around the world.

Not Specified
0",-1,1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD),-1
3,Data Scientist I,VirginPulse,3.4,Remote,Employer Provided Salary:$95K,"Overview:
Join Virgin Pulse Today!

Virgin Pulse is the #1 health and wellbeing navigation platform. Our mission is to change lives for good. We empower 14 million users to get and stay healthy every day by making better choices.

We are looking for a Data Scientist I to join our team who embodies our values: People Matter, We Deliver, One Team One Dream, and Grow Forward. By joining us, you will gain access to health and wellbeing resources, an inclusive global network of nearly 2,000 employees, learning development opportunities, and more.
Responsibilities:
Position Summary

The Data Scientist supports the organization's efforts to drive personalization and targeted intervention through solid statistical and modeling skill set. A successful candidate will have a desire for continuous learning and strong interpersonal relationship skills.
Qualifications:",-1,501 to 1000 Employees,2004,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),-1
4,Data Scientist,Ivy Tech Solutions inc,3.6,Remote,,"HI,
Kindly let me know if you have a suitable fit for the following position
Thanks

REMOTE
Data Scientist
6MONTHS Contract to hire",-1,51 to 200 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
5,Junior Data Scientist,Choice Fitness,3.3,"Atlanta, GA",$71K - $102K (Glassdoor est.),"As a Junior Data Scientist, you will help support the Senior Data Scientist in analysis and research, and machine learning modeling that is underpinning new and current products. Additionally, the Junior Data Scientist will support the Data Engineer in building new data pipelines including new ETL functions.

Minimum Qualifications

Bachelors degree in STEM field using applied statistics and/or machine learning with two plus years of experience.

Strong statistical and mathematical skills: You should have a strong understanding of statistical concepts such as probability theory, hypothesis testing, regression analysis, and machine learning algorithms.

You should be proficient in at least one programming language, such as Python or R. You should also be familiar with SQL for data querying and manipulation.

You should be able to clean, manipulate, and transform data using tools like pandas and numpy in Python or tidyverse in R. You should also be able to create effective data visualizations using libraries such as Matplotlib or ggplot2.

You should have a basic understanding of machine learning algorithms such as linear regression, logistic regression, decision trees, and clustering techniques.

You should have excellent communication skills, including the ability to clearly explain complex technical concepts to non-technical stakeholders.

The ability to work collaboratively with other team members, including data engineers, data analysts, and business stakeholders, can be beneficial for you in delivering successful projects.

You should be able to identify and solve complex problems, often with incomplete or imperfect data.

You should have excellent attention to detail, ensuring that your data analysis is accurate and error-free.

You should be willing to learn new skills and keep up with the latest industry trends and developments.

Nice-to-have skills and Experience

Experience with AGILE/SCRUM/JIRA.

Experience with the AWS cloud platform.

Understanding of deep learning algorithms.

Having domain expertise in criminal justice, crime analysis and/or risk calculation.

Knowledge of data ethics and privacy.

Project management skills scoping, planning, and executing.",-1,Unknown,-1,Company - Public,Beauty & Wellness,Personal Consumer Services,Unknown / Non-Applicable,-1
6,Data Scientist (REMOTE),"General Dynamics Mission Systems, Inc",3.8,Remote,Employer Provided Salary:$120K - $133K,"Basic Qualifications :
Requires a Bachelor’s degree in Engineering, or a related Science or Mathematics field. Also requires 5+ years of job-related experience, or a Master's degree plus 3 years of job-related experience.

Due to the nature of work performed within our facilities, U.S. citizenship is required.
Responsibilities for this Position:
GDMS’ Deep Learning Analytics Center of Excellence (DLACoE) is looking for a data science professional having a wide range of data integration, data visualization, big data, and programming skills. Candidates should possess a demonstrated understanding of machine learning and profiency in software engineering with the ability to apply these skills under real world conditions.

Our Commitment to You:


Salary Note: This estimate represents the typical salary range for this position based on experience and other factors (geographic location, etc.). Actual pay may vary. Combined Salary Range: USD $119,700.00 - USD $132,700.00 /Yr. Company Overview:",-1,10000+ Employees,1952,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),-1
7,Data Scientist Co-Op - Masters Degree - Fall 2023,Torc Robotics,4.3,"Austin, TX",Employer Provided Salary:$31.00 - $37.00 Per Hour,"About the Company
At Torc, we have always believed that autonomous vehicle technology will transform how we travel, move freight, and do business.
A leader in autonomous driving since 2007, Torc has spent over a decade commercializing our solutions with experienced partners. Now a part of the Daimler family, we are focused solely on developing software for automated trucks to transform how the world moves freight.
Join us and catapult your career with the company that helped pioneer autonomous technology, and the first AV software company with the vision to partner directly with a truck manufacturer.",-1,501 to 1000 Employees,2007,Company - Private,Software Development,Information Technology,$25 to $100 million (USD),-1
8,Junior Data Scientist,Club Quarters,3.2,"Stamford, CT",Employer Provided Salary:$80K - $100K,"Club Quarters Application- US

Junior Data Scientist
The Junior Data Scientist is a talented, creative, and motivated data scientist who loves data. The role is supporting our organization with data research and transformation for analytics. This individual will be responsible for ensuring data availability in a timely manner and data accuracy from many disparate systems for reporting and statistical analysis.

MAJOR DUTIES AND RESPONSIBILITIES
•
Build and maintain systems and processes by which we can review and verify the integrity and quality of our data before sharing with internal and external parties
REQUIRED QUALIFICATIONS
•
EDUCATION AND EXPERIENCE
KEY RELATIONSHIPS",-1,501 to 1000 Employees,-1,Company - Private,Hotels & Resorts,Hotels & Travel Accommodation,Unknown / Non-Applicable,-1
9,Computer Vision Data Scientist,Apple,4.2,"Cupertino, CA",,"Summary
Posted: Apr 6, 2023
Role Number:200473664
Do you have a passion for computer vision and deep learning problems? We are looking for someone who thrives on collaboration and wants to push the boundaries of what is possible today! The Video Computer Vision org is a centralized applied research and engineering organization responsible for developing real-time on-device Computer Vision and Machine Perception technologies across Apple products. Our data scientist will work closely with other members of the Video Computer Vision org to implement model evaluation pipeline, analyze large scale data to help influence product decision and improve product quality. This position will require strong analytical and coding skills, presentation skills, and collaborating with multiple teams. You will get to work on computer vision products like FaceID and exciting future technologies.",-1,10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),-1
10,Junior Data Scientist,Augray,3.9,"Brookfield, WI",Employer Provided Salary:$55K - $60K,"Brookfield, WI, USA
Summary:
Hiring Fresher to 1 year experience in Data Science, ML with python and strong analytical skills with a passion to take part in R&D.
About AugRay:
Augray is on a mission to build next generation method of communication using Extended Reality – XR (AR/ VR/ MR) technologies and change the way businesses re conducted and how interactions happen with people. In an age where innovation is happening all around us, there’s commonality – people are driving these changes. We offer a solution that helps to articulate product demonstration and how people conversation takes place using smartphones and wearable glasses.",-1,51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
